Name,Rank,Alloted Seat,Choice 1,Choice 2,Choice 3
Chidvilas,1,0000,0101,0102,0103
Kabir,2,0000,0101,0102,0103
Ved,3,0000,0101,0102,0103
Mridul,4,0000,0101,0102,0103
Saksham,5,0000,0101,0102,0103
Rajit,6,0000,0101,0102,0103
Nipun,7,0000,0101,0102,0103
Nikshep,8,0000,0101,0102,0103
Yuugank,9,0000,0101,0102,0103
Advaith,10,0000,0101,0102,0103
Aneesh,11,0000,0101,0102,0103
Lalit,12,0000,0101,0102,0103
Rithwik,13,0000,0101,0102,0103
Vishodana,14,0000,0101,0102,0103
Rishi,15,0000,0101,0102,0103
Kaushik,16,0000,0101,0102,0103
